IDs,ECFCs_Crit_C1,ECFCs_Crit_C2,ECFCs_Crit_C3,ECFCs_Crit_C4,ECFCs_Crit_C5,ECFCs_Crit_C6,ECFCs_Crit_C7,ECFCs_Crit_C8,ECFCs_PCR+_066,ECFCs_PCR+_081,ECFCs_PCR+_090,ECFCs_PCR+_111,ECFCs_PCR+_163,ECFCs_PCR+_169,ECFCs_PCR+_195,ECFCs_PCR+_299,ECFCs_Neg_001,ECFCs_Neg_013,ECFCs_Neg_0012,ECFCs_Neg_004,ECFCs_Neg_005,ECFCs_Neg_006,ECFCs_Neg_007,ECFCs_Neg_008
Q99704,43.7367,56.958,46.2432,49.5353,60.1127,45.9324,41.2226,32.2246,50.0244,47.9053,26.7595,31.4727,34.0258,32.9629,33.1887,33.1544,62.2926,130.438,99.3534,60.879,57.6971,64.5525,67.495,60.8648
Q99829,49.5386,51.999,60.0876,73.1787,61.3358,61.4971,46.1874,50.1334,63.6273,76.918,49.3302,51.2413,58.9427,53.5709,64.5042,45.2651,49.4689,38.0878,44.7631,43.5706,39.0496,45.3257,45.7662,48.0771
Q99941,,25.6496,54.3937,60.5235,,69.8953,52.3095,81.2821,58.8215,90.8953,66.9829,61.8884,80.5458,56.8305,46.6887,51.7628,34.8311,,,40.326,14.7812,16.0058,25.1087,18.8531
Q9BPX6,84.8668,91.459,61.4897,38.3875,88.969,67.8783,53.2587,56.1623,71.878,83.2651,29.2428,16.6695,39.8606,9.97362,44.8008,68.4972,112.854,110.969,112.365,110.132,76.513,111.019,97.1727,95.8602
Q9BRX2,56.7421,38.9697,91.6053,96.7137,60.4123,96.0978,87.0163,125.421,43.316,52.8433,68.317,65.0383,74.4988,71.3618,60.7743,56.1592,24.0187,44.8302,24.6792,48.7206,,15.413,29.7203,13.616
Q9BV44,33.7649,64.8969,71.2655,68.2272,69.5492,75.3393,73.0986,64.1042,70.2303,79.7994,59.07,61.4677,51.288,65.3686,44.3901,51.5593,36.9605,23.1827,33.0938,39.0413,41.6779,38.2631,23.4656,35.9042
Q9BW72,164.914,182.854,,8.46431,128.163,,4.25085,,124.932,67.3365,38.2989,24.6004,38.053,27.2642,560.768,74.2278,485.361,1112.29,845.21,157.244,749.816,475.633,963.14,535.242
Q9BXP2,85.4611,97.1802,58.6411,48.7079,69.1585,72.4098,36.5481,44.5896,99.0302,61.9146,48.0158,56.8359,44.7781,34.6736,121.267,66.0731,132.974,156.658,128.103,103.989,144.861,121.377,166.387,126.846
Q9BYD6,53.7275,63.4117,63.8423,59.8175,43.1516,58.4342,46.6477,39.214,53.8073,51.8415,50.7663,66.0751,59.8909,57.0541,52.6992,56.1734,71.9302,139.778,128.749,78.3822,80.7065,78.5976,73.9651,90.3134
Q9H1E3,35.053,33.2515,35.136,34.6314,30.1643,33.7489,41.8686,40.3212,37.1956,32.1303,42.0042,40.1601,32.8679,31.7859,25.9096,31.789,43.4976,60.0268,50.1678,52.7505,54.1285,58.4593,54.7283,50.3227
Q9H2I8,48.5797,37.5902,92.5269,105.164,65.0058,57.7444,82.5108,67.1035,22.3519,15.8109,66.7332,84.5889,73.4431,92.9669,43.6756,41.3516,11.4922,,,22.1468,,4.53679,,5.6367
Q9H307,99.8591,122.037,116.491,126.322,110.52,127.437,130.91,114.525,117.762,117.001,124.928,117.376,123.808,122.252,119.239,119.774,129.004,135.759,129.004,123.129,137.406,130.688,132.269,119.583
Q9H3U1,86.2908,72.1433,78.1734,77.2983,68.661,73.1331,76.2608,79.9523,63.7344,74.5406,81.9309,75.2553,73.6252,67.5041,71.5032,66.1663,65.3966,65.4314,60.4527,63.5825,60.3258,63.3137,57.7541,64.185
Q9H832,,167.858,127.292,151.031,189.236,192.354,187.297,147.066,163.177,129.091,120.377,153.505,152.409,124.081,,213.42,263.178,441.519,344.685,256.505,149.117,308.992,295.139,180.209
Q9H840,92.6575,176.636,80.4357,79.0869,143.765,81.072,104.169,74.0817,90.3747,64.0778,64.9423,81.2042,84.8296,49.8751,130.947,101.754,212.477,444.491,375.29,143.417,233.475,249.447,355.669,247.004
Q9H8L6,172.933,158.762,195,170.689,140.864,160.339,192.321,176.255,114.98,135.017,134.476,130.797,138.643,128.296,115.08,138.777,119.391,112.629,106.77,113.553,113.657,117.115,97.6492,108.91
